SMILES_ID,DS0,DS1,DS2,DS3,DS4,DS5,DS6,DS7,DS8,DS9,DS10,DS11,DS12,DS13,DS14,DS15,DS16,DS17,DS18,DS19,DS20,DS21,DS22,DS23,DS24,DS25,DS26,DS27,DS28,DS29,DS30,DS31,DS32,DS33,DS34,DS35,DS36,DS37,DS38,DS39,DS40,DS41,DS42,DS43,DS44,DS45,DS46,DS47,DS48,DS49,DS50,DS51,DS52,DS53,DS54,DS55,DS56,DS57,DS58,DS59,DS60,DS61,DS62,DS63,DS64,DS65,DS66,DS67,DS68,DS69,DS70,DS71,DS72,DS73,DS74,DS75,DS76,DS77,DS78,DS79,DS80,DS81,DS82,DS83,DS84,DS85,DS86,DS87,DS88,DS89,DS90,DS91,DS92,DS93,DS94,DS95,DS96,DS97,DS98,DS99,DS100,DS101,DS102,DS103,DS104,DS105,DS106,DS107,DS108,DS109,DS110,DS111,DS112,DS113,DS114,DS115,DS116,DS117,DS118,DS119,DS120,DS121,DS122,DS123,DS124,DS125,DS126,DS127,DS128,DS129,DS130,DS131,DS132,DS133,DS134,DS135,DS136,DS137,DS138,DS139,DS140,DS141,DS142,DS143,DS144,DS145,DS146,DS147,DS148,DS149,DS150,DS151,DS152,DS153,DS154,DS155,DS156,DS157,DS158,DS159,DS160,DS161,DS162,DS163,DS164,DS165,DS166,DS167,DS168,DS169,DS170,DS171,DS172,DS173,DS174,DS175,DS176,DS177,DS178,DS179,DS180,DS181,DS182,DS183,DS184,DS185,DS186,DS187,DS188,DS189,DS190,DS191,DS192,DS193,DS194,DS195,DS196,DS197,DS198,DS199
0,12.21847742,-1.122828746,12.21847742,0.044611931,0.794577793,330.468,300.228,330.2194948,132,0,0.16134532,-0.38150605,0.38150605,0.16134532,1.083333333,1.791666667,2.5,1.697582898,634.9951151,17.32806265,15.2299655,15.2299655,11.22181622,9.695734118,9.695734118,9.380149132,9.380149132,8.695990943,8.695990943,7.153612794,7.153612794,-0.96,291351.4896,16.50531037,5.030468577,1.880066273,144.4424436,5.106527395,5.601050811,11.56648989,0,0,0,9.589074368,0,0,0,19.42057893,81.11421727,11.83581209,0,14.69560176,11.56648989,0,0,28.58369908,77.73883539,0,11.64912464,0,0,0,0,0,0,22.2740681,9.589074368,28.58369908,72.13778458,11.64912464,0,0,0,54.37,5.601050811,14.69560176,0,16.61322589,36.37860633,38.52492974,5.57310453,6.9237372,6.076020107,13.8474744,0,0,0,24.08545786,11.13902571,0.155297055,1.899839222,0,9.366465341,6.103914813,0,0.80952381,24,1,3,4,0,4,0,0,0,3,1,3,1,3,0,3,4,3.8384,92.3408,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10.37248662,-0.08827339,10.37248662,0.08827339,0.757169744,272.388,248.196,272.17763,108,0,0.115370618,-0.507956032,0.507956032,0.115370618,1.15,2,2.85,1.711199877,538.2198018,13.90541292,12.17851976,12.17851976,9.593172146,8.092631573,8.092631573,7.436274352,7.436274352,6.660103852,6.660103852,5.54120448,5.54120448,-1.02,62569.18896,12.7004821,4.236677915,1.604791759,120.3816825,10.21305479,5.749511833,0,0,0,0,0,0,0,0,12.99010427,84.95327547,0,6.103966388,10.21305479,0,0,0,17.25080256,57.47053937,0,29.32600419,0,5.749511833,0,0,5.749511833,0,16.31702118,6.420821623,17.25080256,56.07265434,18.19910121,0,0,0,40.46,0,10.21305479,0,11.51895686,17.58532393,25.18037091,30.38936785,0,12.13273414,12.99010427,0,0,0,0,20.04967333,2.99181709,2.488895647,5.955254315,6.780339821,2.317353133,0,0.666666667,20,2,2,3,0,3,1,0,1,2,2,2,0,2,0,2,4,3.6092,78.7306,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,14.86502084,-4.612553696,14.86502084,0.000179621,0.618245324,435.377,418.241,435.1206043,162,0,0.415985829,-0.477496861,0.477496861,0.415985829,1.096774194,1.806451613,2.451612903,2.01629981,1230.992663,22.33613434,16.03987427,16.03987427,14.66372236,9.421108508,9.421108508,7.152957876,7.152957876,5.211875627,5.211875627,3.680453518,3.680453518,-3.4,8137132.429,20.85592721,7.693919921,3.857330177,172.8727183,19.89032538,11.38067233,0,5.428790392,0,12.14560381,4.794537184,9.184952232,13.17124514,0,6.066367068,30.33183534,43.44947968,16.76753848,27.46272477,22.55961649,0,9.883888252,0,6.176298517,31.07893535,69.76249738,0,5.687386275,15.64548873,23.24904647,0,0,41.82195795,6.176298517,5.817220841,15.92144017,47.38958317,0,16.59031121,0,74.57,34.51851802,32.25726195,0,22.27769748,26.17902562,24.39594478,22.76620085,4.899909731,0,5.316788604,0,55.68655462,0,25.9883798,12.31435089,-2.198575739,-2.260327242,6.609441989,-3.638415216,2.248590899,0,0.238095238,31,2,6,0,1,1,2,1,3,5,2,10,3,0,1,1,4,3.2564,106.547,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,14.89210762,-1.360985456,14.89210762,0.017689201,0.702676418,397.406,377.246,397.1437843,150,0,0.340737201,-0.496687405,0.496687405,0.340737201,1.206896552,1.965517241,2.655172414,2.017423687,1152.606753,20.54324112,15.81422914,15.81422914,13.9904023,9.216534235,9.216534235,6.806350078,6.806350078,5.091715882,5.091715882,3.608700302,3.608700302,-3.39,4442528.872,18.94947099,7.555801143,3.424712906,165.4896573,24.62718833,17.13018417,0,5.428790392,0,5.969305288,4.794537184,9.184952232,0,0,6.066367068,24.26546827,49.51584675,18.31388453,19.02834258,22.55961649,0,9.883888252,0,0,38.1887329,64.19904589,0,11.43689811,20.38235168,10.07780132,5.749511833,0,48.9317555,0,5.817220841,10.35798868,47.38958317,0,16.59031121,0,83.8,22.77876801,19.08601681,0,5.386224214,35.73049791,19.15587988,13.30664111,34.89893499,4.899909731,5.316788604,4.736862954,21.74450218,0,26.24504647,12.71728813,0.294514046,-1.326822443,9.771214594,1.278985418,2.744339292,1.530932321,0.238095238,29,2,7,0,1,1,2,1,3,6,2,8,4,0,1,1,4,2.2462,108.097,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,14.86021461,-1.440600677,14.86021461,0.079039614,0.49793481,412.377,395.241,412.1182979,154,0,0.340737201,-0.477496861,0.477496861,0.340737201,1.166666667,1.833333333,2.433333333,1.981178479,1216.579308,21.4134846,15.66969103,15.66969103,14.3630811,9.192916968,9.192916968,6.878378024,6.878378024,5.09892226,5.09892226,3.583321302,3.583321302,-3.79,6335385.003,19.52313684,7.559993024,3.369959392,168.6641457,19.89032538,11.38067233,0,5.428790392,5.687386275,5.969305288,14.90885545,9.184952232,0,0,0,24.26546827,55.58221382,16.12739804,19.21479068,28.24700277,0,9.883888252,0,0,31.07893535,74.31336416,0,5.687386275,15.64548873,15.7651876,0,0,46.745269,0,15.93153911,10.35798868,47.38958317,0,16.59031121,0,117.71,27.70207906,29.20033508,0,11.07361049,43.07049889,12.26321064,34.89893499,0,4.899909731,5.316788604,0,16.29974716,0,36.47726173,23.46647098,-0.40870556,-2.052370782,8.025547423,1.160328011,2.53172104,0,0.2,30,2,9,0,1,1,2,1,3,7,2,10,4,0,1,1,4,2.1458,108.1994,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,10.24519133,-3.873364985,10.24519133,0.208020597,0.447848266,181.213,170.125,181.0408788,66,0,0.264416044,-0.356311728,0.356311728,0.264416044,1.545454545,2.090909091,2.454545455,3.369022282,220.6369168,8.905777394,6.201527101,7.018023682,4.916502219,3.11226019,4.721425497,2.122554734,3.694631596,0.953013501,1.757596155,0.51898902,1.028128293,-0.62,147.4254802,10.38,4.297833496,9.38,65.53903978,5.316788604,0,0,5.907179729,10.11812686,0,9.347287058,0,8.417796984,0,0,6.420821623,13.46849361,5.752853607,17.76508404,16.02530659,0,5.316788604,0,13.34455882,12.29761001,0,0,0,5.316788604,0,0,0,31.1753366,14.91266404,0,13.34455882,0,0,0,0,83.47,10.11812686,13.21233417,0,24.62561136,0,0,6.9237372,0,0,5.316788604,4.552749874,28.47994189,0,10.24519133,2.403611111,0,-0.520242819,0,0.234537037,1.613659769,-3.873364985,0.8,11,2,5,0,0,0,0,0,0,3,2,6,4,0,0,0,0,-0.5996,39.7163,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,10.50204082,-0.035925926,10.50204082,0.035925926,0.622799475,135.166,126.094,135.0684139,52,0,0.220747403,-0.326339091,0.326339091,0.220747403,1.3,1.9,2.4,2.674241602,217.9590175,7.397341225,5.794999636,5.794999636,4.7876937,3.114807748,3.114807748,2.047211622,2.047211622,1.094157672,1.094157672,0.724749318,0.724749318,-1.31,195.625462,6.805074799,3.011779445,1.895375402,59.87267163,5.316788604,0,0,5.907179729,0,0,4.794537184,0,0,0,18.19910121,12.13273414,12.61112347,0,4.794537184,11.594566,0,0,0,6.9237372,5.316788604,30.33183534,0,0,5.316788604,5.687386275,0,0,5.907179729,4.794537184,0,6.9237372,30.33183534,0,0,0,29.1,0,4.794537184,0,5.907179729,0,5.687386275,6.9237372,0,30.33183534,5.316788604,0,0,0,10.50204082,2.665833333,0.842592593,-0.035925926,9.365736961,0,1.493055556,0,0.125,10,1,2,0,0,0,1,0,1,1,1,2,1,0,0,0,1,1.645,40.7457,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,12.57502933,-0.992074967,12.57502933,0.013373936,0.204786532,806.987,740.459,806.4452568,322,0,0.330661,-0.459488125,0.459488125,0.330661,0.754385965,1.385964912,2,0.818600786,1499.741514,40.60335457,34.45603029,34.45603029,26.9838768,21.72505599,21.72505599,19.31812279,19.31812279,16.15312723,16.15312723,13.09569013,13.09569013,-1.72,3.64728E+12,41.99044765,15.95283876,7.647746441,335.7389086,58.32101321,31.02274752,18.87008019,0,0,11.93861058,4.794537184,4.794537184,0,0,13.8474744,113.2183254,37.67721264,42.22484914,67.91008758,11.93861058,0,0,34.50160512,204.1030775,6.606881965,11.64912464,0,0,0,0,0,0,124.482397,47.483978,34.50160512,118.5922827,11.64912464,0,0,0,188.9,85.37613378,30.01518395,0,54.00152958,18.44269406,63.36049914,6.9237372,19.92349451,6.9237372,13.8474744,37.89490363,47.79030268,0,23.49834209,45.43110031,0.189273445,0.591043755,0,1.759734098,11.65687028,0,0.906976744,57,4,14,4,4,8,0,0,0,14,4,14,8,4,3,7,8,3.8181,200.7682,0,4,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,12.45260015,-1.461774691,12.45260015,0.245084089,0.653574197,289.356,274.236,289.0772643,104,0,0.255476012,-0.2886097,0.2886097,0.255476012,1,1.45,1.85,2.350694895,547.0823256,14.37203272,10.72991821,11.54641479,9.719545353,6.121045869,7.503133993,4.261467176,5.783032515,2.86558929,4.482410261,1.996488654,3.407509928,-1.98,41076.64383,14.42955284,6.977662647,3.525004875,119.4172344,0,5.752853607,0,0,5.907179729,0,14.2106887,5.480096598,0,0,60.66367068,11.12690298,10.79956904,5.24993803,14.2106887,16.70674877,0,5.480096598,0,5.24993803,5.752853607,71.79057367,0,0,5.480096598,0,0,0,21.07618485,15.59410623,0,16.37684101,60.66367068,0,0,0,66.4,21.9566868,9.003435676,0,5.752853607,0,11.12690298,5.480096598,0,60.66367068,0,5.207253025,12.45260015,0,11.23513857,8.178799761,3.276815949,-0.897680776,18.77165659,0,0,-1.461774691,0.133333333,20,2,4,0,0,0,2,0,2,3,2,5,5,0,0,0,2,2.0301,77.6656,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,11.90264945,-1.008460499,11.90264945,0.305809109,0.899936017,281.337,266.217,281.0834123,102,0,0.413189963,-0.452571857,0.452571857,0.413189963,1.526315789,2.315789474,3,2.277394667,623.7071756,13.82806265,10.72647113,11.54296771,9.134560253,5.868316776,7.187248669,3.93059337,5.501290243,2.512793115,4.071549534,1.6373911,2.706782203,-1.89,24922.72086,13.53954873,5.833524735,3.110777555,112.5657703,9.720841475,0,0,5.948339281,0,6.093240071,9.525687096,9.778515705,0,0,6.9237372,24.61992283,10.64833708,28.94276802,13.74029863,33.87454983,0,9.967957042,0,18.2400423,18.17943975,18.19910121,0,0,5.316788604,10.74287647,0,0,33.13274675,15.536432,0,13.34455882,23.09458468,0,11.03340144,0,84.08,16.89280911,9.003435676,0,0,17.21789361,16.83300582,7.109797541,18.19910121,6.9237372,20.0216086,0,16.38801432,0,18.9563866,2.45118898,1.427784864,0.933981037,5.363051383,0.272430207,1.989444373,0.27327379,0.333333333,19,2,6,0,0,0,1,1,2,4,2,7,4,0,0,0,2,2.2588,73.6878,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
